Flower Name,Flower Price MRP (?),Flower Qty Sold (kg),Weather,Customer Segment
Marigold,150,200,Sunny,"Marriage, Temple"
Rose,120,150,Sunny,"Daily Consumers, Weddings"
Jasmine,100,100,Windy,"Temple, Marriage"
Lily,180,80,Sunny,"Wedding, Special Events"
Sunflower,130,120,Sunny,"Wedding, Festivals"
Tulip,250,50,Windy,"High-End Customers, Special Occasions"
Orchid,300,30,Windy,"High-End Customers, Luxury Events"
Gerbera,110,180,Sunny,"Weddings, Daily Consumers"
Dahlia,170,70,Sunny,"Special Events, Daily Consumers"
Chrysanthemum,140,90,Windy,"Temple, Festivals"
Lavender,200,60,Windy,"Luxury Events, Special Occasions"
Carnation,160,130,Sunny,"Weddings, Corporate Events"
Hibiscus,90,160,Sunny,"Temple, Daily Consumers"
Poppy,220,40,Windy,"Luxury Events, Special Occasions"
Geranium,140,110,Sunny,"Weddings, Corporate Events"
Zinnia,100,130,Sunny,"Daily Consumers, Festivals"
Daisy,110,140,Sunny,"Weddings, Daily Consumers"
Calla Lily,250,60,Windy,"Luxury Events, Weddings"
